      Iter       Train Loss      OOB Improve   Remaining Time 
         9           0.6992           0.0254            0.12s
        10           0.6707           0.0625            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2315           0.1367            0.24s
         2           1.1207           0.1342            0.22s
         3           1.0256           0.0841            0.21s
         4           0.9425           0.0490            0.19s
         5           0.8805           0.1072            0.17s
         6           0.8216           0.0413            0.19s
         7           0.7734           0.0575            0.18s
         8           0.7306           0.0361            0.16s
         9           0.6959           0.0539            0.14s
        10           0.6642           0.0324            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2351           0.1367            0.29s
         2           1.1229           0.1141            0.26s
         3           1.0268           0.0708            0.24s
         4           0.9505           0.0962            0.21s
         5           0.8830           0.0549            0.18s
         6           0.8279           0.0694            0.18s
         7           0.7788           0.0431            0.16s
         8           0.7374           0.0483            0.14s
         9           0.6994           0.0233            0.12s
        10           0.6680           0.0392            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2354           0.1381            0.33s
         2           1.1209           0.1111            0.40s
         3           1.0300           0.0944            0.41s
         4           0.9521           0.0791            0.30s
         5           0.8827           0.0632            0.31s
         6           0.8238           0.0556            0.32s
         7           0.7735           0.0480            0.32s
         8           0.7370           0.0503            0.32s
         9           0.7005           0.0349            0.31s
        10           0.6654           0.0268            0.27s
        20           0.4791           0.0165            0.16s
        30           0.4076           0.0225            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2322           0.1381            0.87s
         2           1.1238           0.1204            0.65s
         3           1.0282           0.0916            0.52s
         4           0.9467           0.0742            0.54s
         5           0.8772           0.0662            0.51s
         6           0.8210           0.0584            0.47s
         7           0.7774           0.0569            0.45s
         8           0.7334           0.0392            0.38s
         9           0.6968           0.0378            0.36s
        10           0.6594           0.0234            0.35s
        20           0.4679           0.0021            0.17s
        30           0.3892           0.0068            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2324           0.1384            0.49s
         2           1.1227           0.1166            0.47s
         3           1.0281           0.0920            0.31s
         4           0.9478           0.0745            0.36s
         5           0.8793           0.0648            0.34s
         6           0.8303           0.0677            0.34s
         7           0.7764           0.0415            0.34s
         8           0.7267           0.0326            0.33s
         9           0.6907           0.0390            0.28s
        10           0.6653           0.0411            0.28s
        20           0.4685           0.0025            0.18s
        30           0.3971          -0.0054            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2308           0.1385            0.68s
         2           1.1212           0.1198            0.57s
         3           1.0307           0.0977            0.52s
         4           0.9509           0.0752            0.49s
         5           0.8824           0.0622            0.46s
