      Iter       Train Loss      OOB Improve   Remaining Time 
        30           0.3917          -0.0094            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2355           0.1392            0.26s
         2           1.1207           0.1115            0.36s
         3           1.0236           0.0896            0.46s
         4           0.9442           0.0806            0.39s
         5           0.8777           0.0696            0.39s
         6           0.8225           0.0628            0.38s
         7           0.7702           0.0431            0.39s
         8           0.7218           0.0324            0.36s
         9           0.6914           0.0526            0.36s
        10           0.6595           0.0356            0.35s
        20           0.4672           0.0061            0.19s
        30           0.3894           0.0257            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2321           0.1373            0.69s
         2           1.1205           0.1164            0.86s
         3           1.0306           0.1032            0.86s
         4           0.9491           0.0698            0.63s
         5           0.8825           0.0670            0.66s
         6           0.8241           0.0530            0.67s
         7           0.7782           0.0572            0.65s
         8           0.7340           0.0359            0.60s
         9           0.6935           0.0290            0.55s
        10           0.6644           0.0406            0.55s
        20           0.4715          -0.0016            0.32s
        30           0.3993           0.0105            0.05s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2352           0.1354            1.02s
         2           1.1208           0.1089            0.86s
         3           1.0272           0.0919            0.77s
         4           0.9516           0.0869            0.77s
         5           0.8800           0.0533            0.74s
         6           0.8262           0.0665            0.69s
         7           0.7786           0.0541            0.66s
         8           0.7333           0.0334            0.60s
         9           0.7006           0.0481            0.60s
        10           0.6652           0.0204            0.57s
        20           0.4760           0.0226            0.30s
        30           0.3904          -0.0196            0.05s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2318           0.1401            0.52s
         2           1.1172           0.1110            0.71s
         3           1.0248           0.1014            0.80s
         4           0.9475           0.0843            0.76s
         5           0.8763           0.0575            0.67s
         6           0.8183           0.0589            0.68s
         7           0.7683           0.0491            0.62s
         8           0.7286           0.0506            0.61s
         9           0.6897           0.0283            0.59s
        10           0.6604           0.0436            0.55s
        20           0.4650          -0.0018            0.26s
        30           0.3914           0.0389            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2336           0.1410            0.50s
         2           1.1223           0.1189            0.56s
         3           1.0305           0.1013            0.47s
         4           0.9501           0.0687            0.52s
         5           0.8775           0.0375            0.49s
         6           0.8267           0.0919            0.46s
         7           0.7777           0.0471            0.44s
         8           0.7347           0.0375            0.44s
         9           0.6971           0.0358            0.42s
        10           0.6661           0.0379            0.45s
        20           0.4830          -0.0044            0.25s
        30           0.3986           0.0122            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2347           0.1362            0.85s
         2           1.1225           0.1149            0.71s
         3           1.0288           0.0916            0.60s
         4           0.9490           0.0704            0.62s
         5           0.8856           0.0848            0.58s
         6           0.8257           0.0416            0.54s
         7           0.7781           0.0581            0.51s
         8           0.7373           0.0496            0.48s
         9           0.6953           0.0065            0.47s
        10           0.6627           0.0281            0.46s
        20           0.4803           0.0247            0.24s
        30           0.3915          -0.0201            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2326           0.1424            0.31s
         2           1.1200           0.1210            0.46s
         3           1.0247           0.0891            0.46s
         4           0.9454           0.0805            0.50s
         5           0.8761           0.0556            0.49s
         6           0.8185           0.0602            0.45s
         7           0.7694           0.0520            0.44s
         8           0.7255           0.0427            0.41s
         9           0.6890           0.0347            0.41s
        10           0.6567           0.0315            0.40s
        20           0.4702           0.0105            0.23s
        30           0.3874           0.0036            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2336           0.1452            0.50s
         2           1.1215           0.1201            0.72s
         3           1.0270           0.0868            0.79s
         4           0.9511           0.0999            0.67s
         5           0.8834           0.0595            0.60s
         6           0.8265           0.0573            0.56s
         7           0.7789           0.0585            0.55s
         8           0.7351           0.0331            0.51s
         9           0.6986           0.0389            0.48s
        10           0.6663           0.0367            0.46s
        20           0.4791           0.0468            0.31s
        30           0.3949           0.0264            0.05s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2341           0.1380            0.76s
         2           1.1217           0.1154            0.69s
         3           1.0269           0.0841            0.81s
         4           0.9508           0.0998            0.74s
         5           0.8845           0.0674            0.68s
         6           0.8273           0.0519            0.62s
         7           0.7792           0.0617            0.58s
         8           0.7362           0.0347            0.55s
         9           0.6978           0.0216            0.50s
        10           0.6694           0.0593            0.48s
        20           0.4811           0.0059            0.24s
        30           0.3964           0.0128            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2329           0.1420            0.64s
         2           1.1185           0.1117            0.64s
         3           1.0246           0.0987            0.62s
         4           0.9455           0.0819            0.55s
         5           0.8791           0.0733            0.55s
         6           0.8225           0.0686            0.51s
         7           0.7704           0.0270            0.48s
         8           0.7278           0.0468            0.45s
         9           0.6924           0.0498            0.45s
        10           0.6577           0.0084            0.42s
        20           0.4723           0.0319            0.22s
        30           0.3907           0.0135            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2355           0.1371            0.95s
